external_course_key,course_id,course_name
2163-03656,2016-SPRI-PULLM-PSYCH-498-3656-RSC,2016-SPRI-PULLM-PSYCH-498-3656-RSC
2163-03655,2016-SPRI-PULLM-PSYCH-498-3655-RSC,2016-SPRI-PULLM-PSYCH-498-3655-RSC
2163-03654,2016-SPRI-PULLM-PSYCH-498-3654-RSC,2016-SPRI-PULLM-PSYCH-498-3654-RSC
2163-03653,2016-SPRI-PULLM-PSYCH-498-3653-RSC,2016-SPRI-PULLM-PSYCH-498-3653-RSC
2163-03652,2016-SPRI-PULLM-PSYCH-498-3652-RSC,2016-SPRI-PULLM-PSYCH-498-3652-RSC
2163-03651,2016-SPRI-PULLM-PSYCH-498-3651-RSC,2016-SPRI-PULLM-PSYCH-498-3651-RSC
2163-03650,2016-SPRI-PULLM-PSYCH-498-3650-RSC,2016-SPRI-PULLM-PSYCH-498-3650-RSC
2163-03649,2016-SPRI-PULLM-PSYCH-498-3649-RSC,2016-SPRI-PULLM-PSYCH-498-3649-RSC
2163-03648,2016-SPRI-PULLM-PSYCH-498-3648-RSC,2016-SPRI-PULLM-PSYCH-498-3648-RSC
2163-03647,2016-SPRI-PULLM-PSYCH-498-3647-RSC,2016-SPRI-PULLM-PSYCH-498-3647-RSC
2163-03646,2016-SPRI-PULLM-PSYCH-498-3646-RSC,2016-SPRI-PULLM-PSYCH-498-3646-RSC
2163-03645,2016-SPRI-PULLM-PSYCH-498-3645-RSC,2016-SPRI-PULLM-PSYCH-498-3645-RSC
2163-03644,2016-SPRI-PULLM-PSYCH-498-3644-RSC,2016-SPRI-PULLM-PSYCH-498-3644-RSC
2163-03643,2016-SPRI-PULLM-PSYCH-498-3643-RSC,2016-SPRI-PULLM-PSYCH-498-3643-RSC
2163-03642,2016-SPRI-PULLM-PSYCH-498-3642-RSC,2016-SPRI-PULLM-PSYCH-498-3642-RSC
2163-03639,2016-SPRI-PULLM-PSYCH-498-3639-RSC,2016-SPRI-PULLM-PSYCH-498-3639-RSC
2163-03641,2016-SPRI-PULLM-PSYCH-498-3641-RSC,2016-SPRI-PULLM-PSYCH-498-3641-RSC
2163-03640,2016-SPRI-PULLM-PSYCH-498-3640-RSC,2016-SPRI-PULLM-PSYCH-498-3640-RSC
2163-03637,2016-SPRI-PULLM-PSYCH-498-3637-RSC,2016-SPRI-PULLM-PSYCH-498-3637-RSC
2163-03638,2016-SPRI-PULLM-PSYCH-498-3638-RSC,2016-SPRI-PULLM-PSYCH-498-3638-RSC
2163-10199,2016-SPRI-ONLIN-PSYCH-498-10199-RSC,2016-SPRI-ONLIN-PSYCH-498-10199-RSC
2163-07975,2016-SPRI-SPOKA-ANTH-302-7975-LEC,2016-SPRI-SPOKA-ANTH-302-7975-LEC
2163-01640,2016-SPRI-TRICI-ANTH-302-1640-LEC,2016-SPRI-TRICI-ANTH-302-1640-LEC
2163-06938,2016-SPRI-VANCO-ANTH-302-6938-LEC,2016-SPRI-VANCO-ANTH-302-6938-LEC
2163-06038,2016-SPRI-PULLM-ANTH-302-6038-LEC,2016-SPRI-PULLM-ANTH-302-6038-LEC
2163-07400,2016-SPRI-ONLIN-ANTH-302-7400-LEC,2016-SPRI-ONLIN-ANTH-302-7400-LEC
2163-04404,2016-SPRI-PULLM-SPANISH-499-4404-IND,2016-SPRI-PULLM-SPANISH-499-4404-IND
2163-04409,2016-SPRI-PULLM-SPANISH-600-4409-IND,2016-SPRI-PULLM-SPANISH-600-4409-IND
2163-05104,2016-SPRI-PULLM-SPMGT-367-5104-LEC,2016-SPRI-PULLM-SPMGT-367-5104-LEC
2163-05117,2016-SPRI-PULLM-SPMGT-499-5117-IND,2016-SPRI-PULLM-SPMGT-499-5117-IND
2163-02561,2016-SPRI-PULLM-SPMGT-700-2561-THE,2016-SPRI-PULLM-SPMGT-700-2561-THE
2163-09223,2016-SPRI-ONLIN-MUS-153-9223-LEC,2016-SPRI-ONLIN-MUS-153-9223-LEC
2163-10224,2016-SPRI-VANCO-MUS-153-10224-LEC,2016-SPRI-VANCO-MUS-153-10224-LEC
2163-05421,2016-SPRI-PULLM-MUS-153-5421-LEC,2016-SPRI-PULLM-MUS-153-5421-LEC
2163-05420,2016-SPRI-PULLM-MUS-153-5420-LEC,2016-SPRI-PULLM-MUS-153-5420-LEC
2163-05419,2016-SPRI-PULLM-MUS-153-5419-LEC,2016-SPRI-PULLM-MUS-153-5419-LEC
2163-05316,2016-SPRI-PULLM-NATRS-419-5316-IND,2016-SPRI-PULLM-NATRS-419-5316-IND
2163-05315,2016-SPRI-PULLM-NATRS-419-5315-IND,2016-SPRI-PULLM-NATRS-419-5315-IND
2163-01584,2016-SPRI-TRICI-POL_S-103-1584-LEC,2016-SPRI-TRICI-POL_S-103-1584-LEC
